trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,sharpe,section
期貨開盤,8,10,10,30,86.7,13.3,0.0,86.7,480,16.0,-14.0,4.08,08:46_night
期貨開盤,8,15,10,30,86.7,13.3,0.0,86.7,280,9.0,-19.0,1.86,08:46_night
期貨開盤,8,20,10,30,86.7,13.3,0.0,86.7,80,3.0,-24.0,0.44,08:46_night
期貨開盤,8,30,10,30,86.7,13.3,0.0,86.7,-320,-11.0,-34.0,-1.29,08:46_night
期貨開盤,8,0,15,30,96.7,0.0,3.3,96.7,-130,-4.0,-129.0,-0.28,08:46_night
期貨開盤,8,10,15,30,86.7,13.3,0.0,86.7,480,16.0,-14.0,4.08,08:46_night
期貨開盤,8,15,15,30,86.7,13.3,0.0,86.7,280,9.0,-19.0,1.86,08:46_night
期貨開盤,8,20,15,30,86.7,13.3,0.0,86.7,80,3.0,-24.0,0.44,08:46_night
期貨開盤,8,30,15,30,86.7,13.3,0.0,86.7,-320,-11.0,-34.0,-1.29,08:46_night
期貨開盤,10,0,3,30,93.3,0.0,6.7,93.3,340,11.0,-67.0,0.83,08:46_night
期貨開盤,10,10,3,30,86.7,13.3,0.0,86.7,1000,33.0,-14.0,7.65,08:46_night
期貨開盤,10,15,3,30,86.7,13.3,0.0,86.7,800,27.0,-19.0,4.9,08:46_night
期貨開盤,10,20,3,30,86.7,13.3,0.0,86.7,600,20.0,-24.0,3.06,08:46_night
期貨開盤,10,30,3,30,86.7,13.3,0.0,86.7,200,7.0,-34.0,0.77,08:46_night
期貨開盤,10,0,5,30,93.3,0.0,6.7,93.3,540,18.0,-57.0,1.63,08:46_night
期貨開盤,10,10,5,30,86.7,13.3,0.0,86.7,1000,33.0,-14.0,7.65,08:46_night
期貨開盤,10,15,5,30,86.7,13.3,0.0,86.7,800,27.0,-19.0,4.9,08:46_night
期貨開盤,10,20,5,30,86.7,13.3,0.0,86.7,600,20.0,-24.0,3.06,08:46_night
期貨開盤,10,30,5,30,86.7,13.3,0.0,86.7,200,7.0,-34.0,0.77,08:46_night
期貨開盤,10,0,10,30,93.3,0.0,6.7,93.3,430,14.0,-62.5,1.25,08:46_night
期貨開盤,10,10,10,30,86.7,13.3,0.0,86.7,1000,33.0,-14.0,7.65,08:46_night
期貨開盤,10,15,10,30,86.7,13.3,0.0,86.7,800,27.0,-19.0,4.9,08:46_night
期貨開盤,10,20,10,30,86.7,13.3,0.0,86.7,600,20.0,-24.0,3.06,08:46_night
期貨開盤,10,30,10,30,86.7,13.3,0.0,86.7,200,7.0,-34.0,0.77,08:46_night
期貨開盤,10,0,15,30,93.3,0.0,6.7,93.3,-100,-3.0,-89.0,-0.2,08:46_night
期貨開盤,10,10,15,30,86.7,13.3,0.0,86.7,1000,33.0,-14.0,7.65,08:46_night
期貨開盤,10,15,15,30,86.7,13.3,0.0,86.7,800,27.0,-19.0,4.9,08:46_night
期貨開盤,10,20,15,30,86.7,13.3,0.0,86.7,600,20.0,-24.0,3.06,08:46_night
期貨開盤,10,30,15,30,86.7,13.3,0.0,86.7,200,7.0,-34.0,0.77,08:46_night
期貨開盤,15,0,3,30,90.0,0.0,10.0,90.0,160,5.0,-93.7,0.24,08:46_night
期貨開盤,15,10,3,30,80.0,20.0,0.0,80.0,1800,60.0,-14.0,9.36,08:46_night
期貨開盤,15,15,3,30,80.0,20.0,0.0,80.0,1500,50.0,-19.0,6.5,08:46_night
期貨開盤,15,20,3,30,80.0,20.0,0.0,80.0,1200,40.0,-24.0,4.46,08:46_night
期貨開盤,15,30,3,30,80.0,20.0,0.0,80.0,600,20.0,-34.0,1.73,08:46_night
期貨開盤,15,0,5,30,90.0,0.0,10.0,90.0,-150,-5.0,-104.0,-0.19,08:46_night
期貨開盤,15,10,5,30,80.0,20.0,0.0,80.0,1800,60.0,-14.0,9.36,08:46_night
期貨開盤,15,15,5,30,80.0,20.0,0.0,80.0,1500,50.0,-19.0,6.5,08:46_night
期貨開盤,15,20,5,30,80.0,20.0,0.0,80.0,1200,40.0,-24.0,4.46,08:46_night
期貨開盤,15,30,5,30,80.0,20.0,0.0,80.0,600,20.0,-34.0,1.73,08:46_night
期貨開盤,15,0,10,30,90.0,0.0,10.0,90.0,-770,-26.0,-124.7,-0.81,08:46_night
期貨開盤,15,10,10,30,80.0,20.0,0.0,80.0,1800,60.0,-14.0,9.36,08:46_night
期貨開盤,15,15,10,30,80.0,20.0,0.0,80.0,1500,50.0,-19.0,6.5,08:46_night
期貨開盤,15,20,10,30,80.0,20.0,0.0,80.0,1200,40.0,-24.0,4.46,08:46_night
期貨開盤,15,30,10,30,80.0,20.0,0.0,80.0,600,20.0,-34.0,1.73,08:46_night
期貨開盤,15,0,15,30,90.0,0.0,10.0,90.0,-630,-21.0,-120.0,-0.76,08:46_night
期貨開盤,15,10,15,30,80.0,20.0,0.0,80.0,1800,60.0,-14.0,9.36,08:46_night
期貨開盤,15,15,15,30,80.0,20.0,0.0,80.0,1500,50.0,-19.0,6.5,08:46_night
期貨開盤,15,20,15,30,80.0,20.0,0.0,80.0,1200,40.0,-24.0,4.46,08:46_night
期貨開盤,15,30,15,30,80.0,20.0,0.0,80.0,600,20.0,-34.0,1.73,08:46_night
期貨開盤,20,0,3,30,83.3,0.0,16.7,83.3,410,14.0,-71.8,0.54,08:46_night
期貨開盤,20,10,3,30,73.3,26.7,0.0,73.3,2400,80.0,-14.0,9.41,08:46_night
期貨開盤,20,15,3,30,73.3,26.7,0.0,73.3,2000,67.0,-19.0,6.72,08:46_night
期貨開盤,20,20,3,30,73.3,26.7,0.0,73.3,1600,53.0,-24.0,4.71,08:46_night
期貨開盤,20,30,3,30,76.7,23.3,0.0,76.7,1300,43.0,-34.0,3.2,08:46_night
期貨開盤,20,0,5,30,86.7,0.0,13.3,86.7,50,2.0,-102.8,0.06,08:46_night
期貨開盤,20,10,5,30,73.3,26.7,0.0,73.3,2400,80.0,-14.0,9.41,08:46_night
期貨開盤,20,15,5,30,73.3,26.7,0.0,73.3,2000,67.0,-19.0,6.72,08:46_night
期貨開盤,20,20,5,30,73.3,26.7,0.0,73.3,1600,53.0,-24.0,4.71,08:46_night
期貨開盤,20,30,5,30,76.7,23.3,0.0,76.7,1300,43.0,-34.0,3.2,08:46_night
期貨開盤,20,0,10,30,86.7,0.0,13.3,86.7,-780,-26.0,-123.5,-0.73,08:46_night
期貨開盤,20,10,10,30,73.3,26.7,0.0,73.3,2400,80.0,-14.0,9.41,08:46_night
期貨開盤,20,15,10,30,73.3,26.7,0.0,73.3,2000,67.0,-19.0,6.72,08:46_night
期貨開盤,20,20,10,30,73.3,26.7,0.0,73.3,1600,53.0,-24.0,4.71,08:46_night
期貨開盤,20,30,10,30,76.7,23.3,0.0,76.7,1300,43.0,-34.0,3.2,08:46_night
期貨開盤,20,0,15,30,86.7,0.0,13.3,86.7,-250,-8.0,-110.2,-0.28,08:46_night
期貨開盤,20,10,15,30,73.3,26.7,0.0,73.3,2400,80.0,-14.0,9.41,08:46_night
期貨開盤,20,15,15,30,73.3,26.7,0.0,73.3,2000,67.0,-19.0,6.72,08:46_night
期貨開盤,20,20,15,30,73.3,26.7,0.0,73.3,1600,53.0,-24.0,4.71,08:46_night
期貨開盤,20,30,15,30,76.7,23.3,0.0,76.7,1300,43.0,-34.0,3.2,08:46_night
